fat_id,path,start,end,size,class,note
257,/battle/enm052_tex.bin,10225664,10230296,4632,container,"in-house EZBIND"
258,/battle/enm053_mdl.bin,10230784,10242124,11340,container,"in-house EZBIND"
259,/battle/enm053_tex.bin,10242560,10247176,4616,container,"in-house EZBIND"
260,/battle/enm054_mdl.bin,10247680,10260224,12544,container,"in-house EZBIND"
261,/battle/enm054_tex.bin,10260480,10265096,4616,container,"in-house EZBIND"
262,/battle/enm055_mdl.bin,10265600,10278144,12544,container,"in-house EZBIND"
263,/battle/enm055_tex.bin,10278400,10283000,4600,container,"in-house EZBIND"
264,/battle/enm05g_mdl.bin,10283008,10296416,13408,container,"in-house EZBIND"
265,/battle/enm05g_tex.bin,10296832,10301416,4584,container,"in-house EZBIND"
266,/battle/enm070_mdl.bin,10301440,10339476,38036,container,"in-house EZBIND"
267,/battle/enm070_mot.bin,10339840,10462696,122856,container,"in-house EZBIND"
268,/battle/enm070_tex.bin,10462720,10480396,17676,container,"in-house EZBIND"
269,/battle/enm071_mdl.bin,10480640,10520732,40092,container,"in-house EZBIND"
270,/battle/enm071_tex.bin,10521088,10538700,17612,container,"in-house EZBIND"
271,/battle/enm080_mdl.bin,10539008,10556500,17492,container,"in-house EZBIND"
272,/battle/enm080_mot.bin,10556928,10619492,62564,container,"in-house EZBIND"
273,/battle/enm080_tex.bin,10619904,10628536,8632,container,"in-house EZBIND"
274,/battle/enm082_mdl.bin,10628608,10646100,17492,container,"in-house EZBIND"
275,/battle/enm082_tex.bin,10646528,10655224,8696,container,"in-house EZBIND"
276,/battle/enm085_mdl.bin,10655232,10675760,20528,container,"in-house EZBIND"
277,/battle/enm085_tex.bin,10676224,10684856,8632,container,"in-house EZBIND"
278,/battle/enm08g_mdl.bin,10684928,10702528,17600,container,"in-house EZBIND"
279,/battle/enm08g_tex.bin,10702848,10711528,8680,container,"in-house EZBIND"
280,/battle/enm090_mdl.bin,10711552,10727160,15608,container,"in-house EZBIND"
281,/battle/enm090_mot.bin,10727424,10749964,22540,container,"in-house EZBIND"
282,/battle/enm090_tex.bin,10750464,10763388,12924,container,"in-house EZBIND"
283,/battle/enm092_mdl.bin,10763776,10779384,15608,container,"in-house EZBIND"
284,/battle/enm092_tex.bin,10779648,10792780,13132,container,"in-house EZBIND"
285,/battle/enm095_mdl.bin,10792960,10813556,20596,container,"in-house EZBIND"
286,/battle/enm095_tex.bin,10813952,10826924,12972,container,"in-house EZBIND"
287,/battle/enm09g_mdl.bin,10827264,10843188,15924,container,"in-house EZBIND"
288,/battle/enm09g_tex.bin,10843648,10854588,10940,container,"in-house EZBIND"
289,/battle/fly000_mdl.bin,10854912,10874092,19180,container,"in-house EZBIND"
290,/battle/fly000_mot.bin,10874368,10944008,69640,container,"in-house EZBIND"
291,/battle/fly000_tex.bin,10944512,10949048,4536,container,"in-house EZBIND"
292,/battle/fly001_mdl.bin,10949120,10968176,19056,container,"in-house EZBIND"
293,/battle/fly001_tex.bin,10968576,10973176,4600,container,"in-house EZBIND"
294,/battle/fly006_mdl.bin,10973184,10992240,19056,container,"in-house EZBIND"
295,/battle/fly006_tex.bin,10992640,10997288,4648,container,"in-house EZBIND"
296,/battle/fly009_mdl.bin,10997760,11016596,18836,container,"in-house EZBIND"
297,/battle/fly009_tex.bin,11016704,11021208,4504,container,"in-house EZBIND"
298,/battle/fly00a_mdl.bin,11021312,11040368,19056,container,"in-house EZBIND"
299,/battle/fly00a_tex.bin,11040768,11045272,4504,container,"in-house EZBIND"
300,/battle/fly00g_mdl.bin,11045376,11060500,15124,container,"in-house EZBIND"
301,/battle/fly00g_tex.bin,11060736,11065288,4552,container,"in-house EZBIND"
302,/battle/fly010_mdl.bin,11065344,11094464,29120,container,"in-house EZBIND"
303,/battle/fly010_mot.bin,11094528,11258912,164384,container,"in-house EZBIND"
304,/battle/fly010_tex.bin,11259392,11268120,8728,container,"in-house EZBIND"
305,/battle/fly011_mdl.bin,11268608,11298000,29392,container,"in-house EZBIND"
306,/battle/fly011_tex.bin,11298304,11307016,8712,container,"in-house EZBIND"
307,/battle/fly012_mdl.bin,11307520,11338412,30892,container,"in-house EZBIND"
308,/battle/fly012_tex.bin,11338752,11347416,8664,container,"in-house EZBIND"
309,/battle/fly01g_mdl.bin,11347456,11369996,22540,container,"in-house EZBIND"
310,/battle/fly01g_tex.bin,11370496,11379240,8744,container,"in-house EZBIND"
311,/battle/fly020_mdl.bin,11379712,11406268,26556,container,"in-house EZBIND"
312,/battle/fly020_mot.bin,11406336,11527040,120704,container,"in-house EZBIND"
313,/battle/fly020_tex.bin,11527168,11535896,8728,container,"in-house EZBIND"
314,/battle/fly021_mdl.bin,11536384,11562940,26556,container,"in-house EZBIND"
315,/battle/fly021_tex.bin,11563008,11571640,8632,container,"in-house EZBIND"
316,/battle/fly022_mdl.bin,11571712,11598264,26552,container,"in-house EZBIND"
317,/battle/fly022_tex.bin,11598336,11607064,8728,container,"in-house EZBIND"
318,/battle/fly024_mdl.bin,11607552,11634504,26952,container,"in-house EZBIND"
319,/battle/fly024_tex.bin,11634688,11643416,8728,container,"in-house EZBIND"
320,/battle/fly02g_mdl.bin,11643904,11663396,19492,container,"in-house EZBIND"
321,/battle/fly02g_tex.bin,11663872,11672520,8648,container,"in-house EZBIND"
322,/battle/fly030_mdl.bin,11672576,11690088,17512,container,"in-house EZBIND"
323,/battle/fly030_mot.bin,11690496,11735732,45236,container,"in-house EZBIND"
324,/battle/fly030_tex.bin,11736064,11738568,2504,container,"in-house EZBIND"
325,/battle/fly031_mdl.bin,11738624,11756136,17512,container,"in-house EZBIND"
